time,tl1,tl2,sc,reward
302,0.85,0.15,13.192925317710934,-4.528848521860686
303,0.15,0.15,14.767233462207841,-5.5274327010436295
304,0.5,0.85,12.566974384480014,-4.20664414001225
305,0.5,0.85,12.504581805008971,-4.140082137525119
306,0.5,0.85,12.499146927836934,-4.1352132672454
307,0.15,0.5,13.538938208455438,-4.950568323892317
308,0.85,0.5,12.892719958063843,-4.11806093687997
309,0.85,0.15,12.904694765061937,-4.998215945228133
310,0.85,0.5,12.634012009398981,-4.484294857057272
311,0.15,0.15,14.399711434646852,-5.364775907061671
312,0.15,0.85,13.146418134015828,-4.750875297296615
313,0.5,0.15,14.610172179677186,-4.623922371066678
314,0.85,0.15,12.947566989383741,-5.313349243747017
315,0.85,0.85,12.63649185782651,-4.148593029958841
316,0.85,0.85,12.142964451955834,-3.563681316977343
317,0.15,0.85,13.214678428739166,-4.423644305356364
318,0.5,0.15,14.664114474177822,-4.516209237144565
319,0.15,0.85,13.93542137509995,-4.70088668696421
320,0.15,0.5,13.678643091103151,-5.151569402779747
321,0.15,0.5,13.51283647713954,-5.222205702005111
322,0.15,0.5,13.512450767175322,-5.215296446192852
323,0.85,0.15,13.774983864607318,-4.607939947545947
324,0.15,0.85,14.77121309149221,-4.429989786848736
325,0.5,0.5,13.487630325730223,-4.286675303820335
326,0.5,0.5,12.997630364078145,-4.484521856304351
327,0.15,0.15,14.260977849088263,-5.469340988907217
328,0.5,0.15,13.643018623034136,-5.072706646771224
329,0.85,0.15,12.951067786155892,-5.207985243578001
330,0.5,0.85,13.390575649498537,-4.121183005956885
331,0.85,0.85,12.255631082564832,-3.610474254015863
332,0.85,0.85,12.142223952011118,-3.6338707225351223
333,0.85,0.85,12.139004627653751,-3.587077785496602
334,0.15,0.5,13.666911139638744,-4.747218111251792
335,0.5,0.5,13.140079881866637,-4.352624154648341
336,0.5,0.5,12.994662665790887,-4.435060218183347
337,0.5,0.85,12.580049735327277,-4.126716993895032
338,0.5,0.5,13.101829548386394,-4.253700878406333
339,0.85,0.5,12.575881740221675,-4.171469545401012
